clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,operand1,operand2
The game loads 25 textures per second. How many textures in 25 seconds?,625,The game loaded 25 textures over 25 seconds. What was the average loading speed?,1,25,25
The game loads 40 textures per second. How many textures in 4 seconds?,160,The game loaded 40 textures over 4 seconds. What was the average loading speed?,10,40,4
Each pyramid block weighs 29 tons. What is the total weight of 29 blocks?,841,The pyramid's 29 blocks weigh 29 tons total. What is the average block weight?,1,29,29
Each pyramid block weighs 28 tons. What is the total weight of 4 blocks?,112,The pyramid's 4 blocks weigh 28 tons total. What is the average block weight?,7,28,4
The scribe copies 46 pages daily. How many pages in 23 days?,1058,The 46-page manuscript took 23 days to copy. What was the average daily output?,2,46,23
The scribe copies 18 pages daily. How many pages in 2 days?,36,The 18-page manuscript took 2 days to copy. What was the average daily output?,9,18,2
Each Viking ship carries 36 warriors. How many warriors can 4 ships carry?,144,The fleet of 4 ships transported 36 warriors total. What was the average per ship?,9,36,4
Each Viking ship carries 24 warriors. How many warriors can 3 ships carry?,72,The fleet of 3 ships transported 24 warriors total. What was the average per ship?,8,24,3
The castle requires 37 stones per wall. How many stones for 37 walls?,1369,Builders used 37 stones across 37 walls. What was the average per wall?,1,37,37
The castle requires 46 stones per wall. How many stones for 23 walls?,1058,Builders used 46 stones across 23 walls. What was the average per wall?,2,46,23
Each Roman road segment is 10 miles long. How long is a road with 5 segments?,50,The 10-mile road consists of 5 segments. What is the average segment length?,2,10,5
Each Roman road segment is 38 miles long. How long is a road with 38 segments?,1444,The 38-mile road consists of 38 segments. What is the average segment length?,1,38,38
The revolution gains 48 supporters daily. How many supporters in 48 days?,2304,The movement gained 48 supporters over 48 days. What was the average daily growth?,1,48,48
The revolution gains 48 supporters daily. How many supporters in 16 days?,768,The movement gained 48 supporters over 16 days. What was the average daily growth?,3,48,16
Each samurai sword takes 3 hours to forge. How long to forge 3 swords?,9,The swordsmith spent 3 hours making 3 swords. What was the average time per sword?,1,3,3
Each samurai sword takes 30 hours to forge. How long to forge 5 swords?,150,The swordsmith spent 30 hours making 5 swords. What was the average time per sword?,6,30,5
The caravan travels 46 miles daily. How far will it go in 46 days?,2116,The caravan covered 46 miles in 46 days. What was its average daily distance?,1,46,46
The caravan travels 24 miles daily. How far will it go in 6 days?,144,The caravan covered 24 miles in 6 days. What was its average daily distance?,4,24,6
Each Renaissance painting uses 28 pigments. How many pigments for 4 paintings?,112,Artists used 28 pigments across 4 paintings. What was the average per painting?,7,28,4
Each Renaissance painting uses 42 pigments. How many pigments for 21 paintings?,882,Artists used 42 pigments across 21 paintings. What was the average per painting?,2,42,21
The miner finds 32 ounces of gold weekly. How much gold in 32 weeks?,1024,The miner extracted 32 ounces over 32 weeks. What was the average weekly yield?,1,32,32
The miner finds 42 ounces of gold weekly. How much gold in 2 weeks?,84,The miner extracted 42 ounces over 2 weeks. What was the average weekly yield?,21,42,2
Each hurricane produces 45 inches of rain. How much rain will 45 hurricanes bring?,2025,The region received 45 inches of rain from 45 hurricanes. What was the average rainfall per hurricane?,1,45,45
Each hurricane produces 36 inches of rain. How much rain will 9 hurricanes bring?,324,The region received 36 inches of rain from 9 hurricanes. What was the average rainfall per hurricane?,4,36,9
The blizzard drops 6 snowflakes per square inch. How many flakes will fall on 3 square inches?,18,Scientists measured 6 snowflakes across 3 square inches. What was the average snowflake density?,2,6,3
The blizzard drops 17 snowflakes per square inch. How many flakes will fall on 17 square inches?,289,Scientists measured 17 snowflakes across 17 square inches. What was the average snowflake density?,1,17,17
Each tornado damages 27 structures. How many structures will 9 tornadoes affect?,243,The tornado outbreak damaged 27 structures across 9 tornadoes. What was the average damage per tornado?,3,27,9
Each tornado damages 32 structures. How many structures will 4 tornadoes affect?,128,The tornado outbreak damaged 32 structures across 4 tornadoes. What was the average damage per tornado?,8,32,4
The heatwave increases energy demand by 32 megawatts daily. How much extra power will be needed over 32 days?,1024,Energy demand increased by 32 megawatts over 32 heatwave days. What was the average daily increase?,1,32,32
The heatwave increases energy demand by 28 megawatts daily. How much extra power will be needed over 14 days?,392,Energy demand increased by 28 megawatts over 14 heatwave days. What was the average daily increase?,2,28,14
Each lightning strike releases 12 gigajoules. How much energy will 4 strikes release?,48,The storm released 12 gigajoules through 4 lightning strikes. What was the average energy per strike?,3,12,4
Each lightning strike releases 5 gigajoules. How much energy will 5 strikes release?,25,The storm released 5 gigajoules through 5 lightning strikes. What was the average energy per strike?,1,5,5
The flood submerges 33 acres hourly. How many acres will be flooded in 33 hours?,1089,The floodwaters covered 33 acres over 33 hours. What was the average expansion rate?,1,33,33
The flood submerges 11 acres hourly. How many acres will be flooded in 11 hours?,121,The floodwaters covered 11 acres over 11 hours. What was the average expansion rate?,1,11,11
Each hailstorm produces 6 ice chunks per square yard. How many chunks will fall on 6 square yards?,36,The storm dropped 6 hailstones across 6 square yards. What was the average concentration?,1,6,6
Each hailstorm produces 22 ice chunks per square yard. How many chunks will fall on 22 square yards?,484,The storm dropped 22 hailstones across 22 square yards. What was the average concentration?,1,22,22
The drought lowers water levels by 18 feet monthly. How much will levels drop over 18 months?,324,Reservoirs dropped 18 feet during 18 months of drought. What was the average monthly decline?,1,18,18
The drought lowers water levels by 42 feet monthly. How much will levels drop over 6 months?,252,Reservoirs dropped 42 feet during 6 months of drought. What was the average monthly decline?,7,42,6
Each tsunami wave carries 24 tons of debris. How much debris will 4 waves move?,96,The tsunami moved 24 tons of debris through 4 waves. What was the average debris per wave?,6,24,4
Each tsunami wave carries 27 tons of debris. How much debris will 3 waves move?,81,The tsunami moved 27 tons of debris through 3 waves. What was the average debris per wave?,9,27,3
The sandstorm reduces visibility by 50 meters per minute. How much visibility will be lost in 25 minutes?,1250,Visibility decreased by 50 meters over 25 minutes. What was the average rate of visibility loss?,2,50,25
The sandstorm reduces visibility by 20 meters per minute. How much visibility will be lost in 2 minutes?,40,Visibility decreased by 20 meters over 2 minutes. What was the average rate of visibility loss?,10,20,2
Each whale consumes 48 krill daily. How many krill will 24 whales eat?,1152,A pod of 24 whales consumed 48 krill total. What was the average krill per whale?,2,48,24
Each whale consumes 36 krill daily. How many krill will 2 whales eat?,72,A pod of 2 whales consumed 36 krill total. What was the average krill per whale?,18,36,2
The coral reef grows 22 centimeters annually. How much will it grow in 11 years?,242,The reef grew 22 centimeters over 11 years. What was its average annual growth?,2,22,11
The coral reef grows 49 centimeters annually. How much will it grow in 49 years?,2401,The reef grew 49 centimeters over 49 years. What was its average annual growth?,1,49,49
Each sea turtle lays 30 eggs per nest. How many eggs will 6 nests contain?,180,Researchers found 30 turtle eggs in 6 nests. What was the average eggs per nest?,5,30,6
Each sea turtle lays 16 eggs per nest. How many eggs will 2 nests contain?,32,Researchers found 16 turtle eggs in 2 nests. What was the average eggs per nest?,8,16,2
The ocean current moves 39 miles daily. How far will objects drift in 13 days?,507,Driftwood traveled 39 miles over 13 days. What was the average daily movement?,3,39,13
The ocean current moves 11 miles daily. How far will objects drift in 11 days?,121,Driftwood traveled 11 miles over 11 days. What was the average daily movement?,1,11,11
Each phytoplankton cluster produces 33 oxygen molecules hourly. How much oxygen will 3 clusters produce?,99,Scientists measured 33 oxygen molecules from 3 phytoplankton clusters. What was the average production rate?,11,33,3
Each phytoplankton cluster produces 38 oxygen molecules hourly. How much oxygen will 38 clusters produce?,1444,Scientists measured 38 oxygen molecules from 38 phytoplankton clusters. What was the average production rate?,1,38,38
The kelp forest grows 34 feet monthly. How tall will it become after 34 months?,1156,The kelp grew 34 feet over 34 months. What was its average monthly growth?,1,34,34
The kelp forest grows 20 feet monthly. How tall will it become after 20 months?,400,The kelp grew 20 feet over 20 months. What was its average monthly growth?,1,20,20
Each fishing net catches 28 fish when full. How many fish will 4 full nets catch?,112,Fishermen emptied 28 fish from 4 nets. What was the average catch per net?,7,28,4
Each fishing net catches 42 fish when full. How many fish will 14 full nets catch?,588,Fishermen emptied 42 fish from 14 nets. What was the average catch per net?,3,42,14
The submarine explores 49 square miles daily. How much area can it survey in 49 days?,2401,The submarine surveyed 49 square miles over 49 days. What was its average daily exploration?,1,49,49
The submarine explores 32 square miles daily. How much area can it survey in 2 days?,64,The submarine surveyed 32 square miles over 2 days. What was its average daily exploration?,16,32,2
Each oyster filters 12 gallons of water hourly. How much water will 12 oysters filter?,144,An oyster bed of 12 oysters filtered 12 gallons total. What was the average per oyster?,1,12,12
Each oyster filters 40 gallons of water hourly. How much water will 10 oysters filter?,400,An oyster bed of 10 oysters filtered 40 gallons total. What was the average per oyster?,4,40,10
The tidal zone reveals 41 new species per survey. How many species might be found in 41 surveys?,1681,Researchers documented 41 species across 41 tidal surveys. What was the average per survey?,1,41,41
The tidal zone reveals 50 new species per survey. How many species might be found in 50 surveys?,2500,Researchers documented 50 species across 50 tidal surveys. What was the average per survey?,1,50,50
Each quantum computer performs 6 operations per second. How many operations in 6 seconds?,36,The quantum computer completed 6 operations over 6 seconds. What was its operation rate?,1,6,6
Each quantum computer performs 21 operations per second. How many operations in 3 seconds?,63,The quantum computer completed 21 operations over 3 seconds. What was its operation rate?,7,21,3
The nanobot swarm repairs 34 cells per minute. How many cells can it repair in 2 minutes?,68,The nanobots repaired 34 cells during 2 minutes. What was their average repair rate?,17,34,2
The nanobot swarm repairs 33 cells per minute. How many cells can it repair in 3 minutes?,99,The nanobots repaired 33 cells during 3 minutes. What was their average repair rate?,11,33,3
Each hologram projector uses 50 teraflops. How much processing power for 2 projectors?,100,The hologram system uses 50 teraflops total across 2 projectors. What's the average per projector?,25,50,2
Each hologram projector uses 48 teraflops. How much processing power for 3 projectors?,144,The hologram system uses 48 teraflops total across 3 projectors. What's the average per projector?,16,48,3
The fusion reactor generates 21 megawatts hourly. How much energy in 21 hours?,441,The reactor produced 21 megawatts over 21 hours. What was its average hourly output?,1,21,21
The fusion reactor generates 25 megawatts hourly. How much energy in 25 hours?,625,The reactor produced 25 megawatts over 25 hours. What was its average hourly output?,1,25,25
Each AI training cycle processes 25 data points. How many points in 25 cycles?,625,The AI processed 25 data points through 25 cycles. What was the average per cycle?,1,25,25
Each AI training cycle processes 42 data points. How many points in 42 cycles?,1764,The AI processed 42 data points through 42 cycles. What was the average per cycle?,1,42,42
The space elevator climbs 5 kilometers daily. How far will it ascend in 5 days?,25,The elevator ascended 5 kilometers over 5 days. What was its average daily climb?,1,5,5
The space elevator climbs 24 kilometers daily. How far will it ascend in 6 days?,144,The elevator ascended 24 kilometers over 6 days. What was its average daily climb?,4,24,6
Each gene editor modifies 26 base pairs per second. How many edits in 2 seconds?,52,The gene editor made 26 edits over 2 seconds. What was its editing speed?,13,26,2
Each gene editor modifies 48 base pairs per second. How many edits in 24 seconds?,1152,The gene editor made 48 edits over 24 seconds. What was its editing speed?,2,48,24
The Mars colony uses 48 liters of water daily. How much water will be needed for 2 days?,96,The colony used 48 liters over 2 days. What was their average daily usage?,24,48,2
The Mars colony uses 33 liters of water daily. How much water will be needed for 11 days?,363,The colony used 33 liters over 11 days. What was their average daily usage?,3,33,11
Each exoskeleton lifts 47 kilograms. How much can 47 exoskeletons lift together?,2209,A team of 47 exoskeletons lifted 47 kg total. What was the average lifting capacity?,1,47,47
Each exoskeleton lifts 34 kilograms. How much can 2 exoskeletons lift together?,68,A team of 2 exoskeletons lifted 34 kg total. What was the average lifting capacity?,17,34,2
The drone makes 30 deliveries per hour. How many deliveries in 10 hours?,300,The drone completed 30 deliveries over 10 hours. What was its average delivery rate?,3,30,10
The drone makes 24 deliveries per hour. How many deliveries in 24 hours?,576,The drone completed 24 deliveries over 24 hours. What was its average delivery rate?,1,24,24
