template,logic,key_phrases
The air quality index shows {x} particles. Filters remove {y} particles. What is the improved reading?,x-y,"remove, improved"
The puzzle has {x} pieces. The deluxe edition adds {y} more pieces. What is the new challenge?,x+y,"adds, more"
The puzzle has {x} pieces. [name] connects {y} pieces. How many pieces remain?,x-y,"connects, remain"
The collection contains {x} coins. An auction adds {y} rare coins. What is the new collection?,x+y,"adds, new"
The collection contains {x} coins. [name] sells {y} coins. How many coins remain?,x-y,"sells, remain"
The playlist has {x} songs. New releases add {y} more songs. What is the updated playlist?,x+y,"adds, more"
The playlist has {x} songs. [name] skips {y} songs. How many songs will play?,x-y,"skips, will play"
The gallery displays {x} paintings. A donation adds {y} paintings. What is the new exhibition?,x+y,"adds, new"
The gallery displays {x} paintings. {y} paintings go on tour. How many remain on view?,x-y,"go on tour, remain"
The book has {x} pages. The special edition includes {y} additional pages. What is the new length?,x+y,"includes, additional"
The book has {x} pages. [name] reads {y} pages. How many pages remain?,x-y,"reads, remain"
